Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey"
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.881,"$3,571","$3,300","$3,000","$3,800",NUS,2014,No,NUS GES 2014,Bachelor of Engineering (Electrical Engineering) | NUS 2014
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.625,"$3,465","$3,400","$3,275","$3,790",NUS,2014,No,NUS GES 2014,Bachelor of Engineering (Engineering Science) | NUS 2014
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.929,"$3,215","$3,230","$3,000","$3,422",NUS,2014,No,NUS GES 2014,Bachelor of Engineering (Environmental Engineering) | NUS 2014
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.965,"$3,719","$3,600","$3,200","$4,000",NUS,2014,No,NUS GES 2014,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2014
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.738,"$3,350","$3,300","$3,000","$3,600",NUS,2014,No,NUS GES 2014,Bachelor of Engineering (Materials Science & Engineering) | NUS 2014
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.885,"$3,323","$3,200","$3,000","$3,500",NUS,2014,No,NUS GES 2014,Bachelor of Engineering (Mechanical Engineering) | NUS 2014
Bachelor of Laws,Faculty of Law,0.976,"$5,247","$5,150","$4,800","$5,800",NUS,2014,No,NUS GES 2014,Bachelor of Laws | NUS 2014
Bachelor of Applied Science,Faculty of Science,0.000,$0,$0,$0,$0,NUS,2014,Suppressed,NUS GES 2014,Bachelor of Applied Science | NUS 2014
Bachelor of Applied Science (Hons),Faculty of Science,0.818,"$2,831","$2,800","$2,600","$3,000",NUS,2014,No,NUS GES 2014,Bachelor of Applied Science (Hons) | NUS 2014
Bachelor of Science,Faculty of Science,0.614,"$2,973","$3,000","$2,700","$3,200",NUS,2014,No,NUS GES 2014,Bachelor of Science | NUS 2014
Bachelor of Science (Computational Biology),Faculty of Science,0.000,$0,$0,$0,$0,NUS,2014,Suppressed,NUS GES 2014,Bachelor of Science (Computational Biology) | NUS 2014
Bachelor of Science (Hons),Faculty of Science,0.758,"$3,328","$3,210","$2,950","$3,600",NUS,2014,No,NUS GES 2014,Bachelor of Science (Hons) | NUS 2014
Bachelor of Science (Pharmacy) (Hons),Faculty of Science,0.967,"$3,670","$3,630","$3,470","$4,000",NUS,2014,No,NUS GES 2014,Bachelor of Science (Pharmacy) (Hons) | NUS 2014
Bachelor of Business Administration,NUS Business School,0.836,"$3,367","$3,000","$2,800","$3,300",NUS,2014,No,NUS GES 2014,Bachelor of Business Administration | NUS 2014
Bachelor of Business Administration (Hons),NUS Business School,0.906,"$4,090","$3,520","$3,200","$4,300",NUS,2014,No,NUS GES 2014,Bachelor of Business Administration (Hons) | NUS 2014
Bachelor of Business Administration (Accountancy),NUS Business School,0.898,"$2,989","$2,838","$2,700","$3,000",NUS,2014,No,NUS GES 2014,Bachelor of Business Administration (Accountancy) | NUS 2014
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.963,"$3,407","$2,912","$2,800","$3,614",NUS,2014,No,NUS GES 2014,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2014
Bachelor of Computing (Communications & Media),School of Computing,0.821,"$3,129","$3,088","$2,900","$3,300",NUS,2014,No,NUS GES 2014,Bachelor of Computing (Communications & Media) | NUS 2014
Bachelor of Computing (Computational Biology),School of Computing,0.000,$0,$0,$0,$0,NUS,2014,Suppressed,NUS GES 2014,Bachelor of Computing (Computational Biology) | NUS 2014
Bachelor of Computing (Computer Engineering),School of Computing,0.000,$0,$0,$0,$0,NUS,2014,Suppressed,NUS GES 2014,Bachelor of Computing (Computer Engineering) | NUS 2014
Bachelor of Computing (Computer Science),School of Computing,0.859,"$3,712","$3,500","$3,300","$4,000",NUS,2014,No,NUS GES 2014,Bachelor of Computing (Computer Science) | NUS 2014
Bachelor of Computing (Electronic Commerce),School of Computing,0.857,"$3,386","$3,200","$3,000","$3,500",NUS,2014,No,NUS GES 2014,Bachelor of Computing (Electronic Commerce) | NUS 2014
Bachelor of Computing (Information Systems),School of Computing,0.920,"$3,789","$3,500","$3,100","$4,039",NUS,2014,No,NUS GES 2014,Bachelor of Computing (Information Systems) | NUS 2014
Bachelor of Arts (Architecture),School of Design & Environment,0.952,"$4,400","$4,275","$4,000","$4,750",NUS,2014,No,NUS GES 2014,Bachelor of Arts (Architecture) | NUS 2014
Bachelor of Arts (Industrial Design),School of Design & Environment,0.591,"$2,603","$2,565","$2,200","$3,000",NUS,2014,No,NUS GES 2014,Bachelor of Arts (Industrial Design) | NUS 2014
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.941,"$3,181","$3,000","$2,900","$3,360",NUS,2014,No,NUS GES 2014,Bachelor of Science (Project & Facilities Management) | NUS 2014
Bachelor of Science (Real Estate),School of Design & Environment,0.892,"$3,108","$3,000","$2,750","$3,300",NUS,2014,No,NUS GES 2014,Bachelor of Science (Real Estate) | NUS 2014
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.956,"$3,188","$3,200","$3,050","$3,386",NUS,2014,No,NUS GES 2014,Bachelor of Science (Nursing) | NUS 2014
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,1.000,"$3,353","$3,500","$3,270","$3,600",NUS,2014,No,NUS GES 2014,Bachelor of Science (Nursing) (Hons) | NUS 2014
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,1.000,"$4,886","$5,000","$4,500","$5,200",NUS,2014,No,NUS GES 2014,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2014
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.000,$0,$0,$0,$0,NUS,2014,Suppressed,NUS GES 2014,Bachelor of Music | NUS 2014
Accountancy (4-year programme),School of Accountancy,0.914,"$3,420","$2,875","$2,722","$3,614",SMU,2014,No,SMU GES 2014,Accountancy (4-year programme) | SMU 2014
Accountancy (4-year programme) (cum laude & above),School of Accountancy,0.961,"$3,903","$3,500","$2,875","$4,300",SMU,2014,No,SMU GES 2014,Accountancy (4-year programme) (cum laude & above) | SMU 2014
Business Management (4-year programme),School of Business,0.864,"$3,752","$3,333","$3,000","$4,000",SMU,2014,No,SMU GES 2014,Business Management (4-year programme) | SMU 2014
Business Management (4-year programme) (cum laude & above),School of Business,0.940,"$4,116","$3,600","$3,200","$4,500",SMU,2014,No,SMU GES 2014,Business Management (4-year programme) (cum laude & above) | SMU 2014
Economics (4-year programme),School of Economics,0.839,"$3,645","$3,500","$3,175","$4,000",SMU,2014,No,SMU GES 2014,Economics (4-year programme) | SMU 2014
Economics (4-year programme) (cum laude & above),School of Economics,0.891,"$3,824","$3,800","$3,300","$4,350",SMU,2014,No,SMU GES 2014,Economics (4-year programme) (cum laude & above) | SMU 2014
Information Systems Management (4-year programme),School of Information Systems,0.806,"$3,530","$3,350","$3,000","$4,000",SMU,2014,No,SMU GES 2014,Information Systems Management (4-year programme) | SMU 2014
Information Systems Management (4-year programme) (cum laude & above),School of Information Systems,0.842,"$4,151","$4,050","$3,500","$4,540",SMU,2014,No,SMU GES 2014,Information Systems Management (4-year programme) (cum laude & above) | SMU 2014
Social Sciences (4-year programme),School of Social Sciences,0.841,"$3,166","$3,000","$2,800","$3,580",SMU,2014,No,SMU GES 2014,Social Sciences (4-year programme) | SMU 2014
Social Sciences (4-year programme) (cum laude & above),School of Social Sciences,0.813,"$3,545","$3,590","$3,000","$3,955",SMU,2014,No,SMU GES 2014,Social Sciences (4-year programme) (cum laude & above) | SMU 2014
Law (4-year programme),School of Law,0.956,"$5,332","$5,025","$4,600","$5,950",SMU,2014,No,SMU GES 2014,Law (4-year programme) | SMU 2014
Law (4-year programme) (cum laude & above),School of Law,0.977,"$5,571","$5,800","$4,800","$6,000",SMU,2014,No,SMU GES 2014,Law (4-year programme) (cum laude & above) | SMU 2014
Accountancy & Business,Nanyang Business School,0.973,"$4,438","$3,770","$3,000","$4,850",NTU,2015,No,NTU GES 2015,Accountancy & Business | NTU 2015
Accountancy,Nanyang Business School,0.965,"$3,240","$2,875","$2,850","$3,125",NTU,2015,No,NTU GES 2015,Accountancy | NTU 2015
Business,Nanyang Business School,0.876,"$3,502","$3,200","$2,900","$3,700",NTU,2015,No,NTU GES 2015,Business | NTU 2015
Business & Computing,Nanyang Business School,1.000,"$4,395","$4,583","$3,800","$4,876",NTU,2015,No,NTU GES 2015,Business & Computing | NTU 2015
Aerospace Engineering,College of Engineering,0.860,"$3,724","$3,700","$3,450","$4,000",NTU,2015,No,NTU GES 2015,Aerospace Engineering | NTU 2015
Aerospace Engineering & Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2015,Suppressed,NTU GES 2015,Aerospace Engineering & Economics | NTU 2015
Bioengineering,College of Engineering,0.765,"$3,197","$3,113","$2,900","$3,450",NTU,2015,No,NTU GES 2015,Bioengineering | NTU 2015
Business & Computer Engineering,College of Engineering,0.000,$0,$0,$0,$0,NTU,2015,Suppressed,NTU GES 2015,Business & Computer Engineering | NTU 2015
Chemical & Biomolecular Engineering,College of Engineering,0.809,"$3,373","$3,300","$3,000","$3,600",NTU,2015,No,NTU GES 2015,Chemical & Biomolecular Engineering | NTU 2015
Chemical & Biomolecular Engineering & Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2015,Suppressed,NTU GES 2015,Chemical & Biomolecular Engineering & Economics | NTU 2015
Computer Engineering,College of Engineering,0.830,"$3,577","$3,500","$3,200","$4,000",NTU,2015,No,NTU GES 2015,Computer Engineering | NTU 2015
Civil Engineering,College of Engineering,0.930,"$3,206","$3,200","$3,000","$3,300",NTU,2015,No,NTU GES 2015,Civil Engineering | NTU 2015
Computer Science,College of Engineering,0.914,"$3,535","$3,300","$3,150","$3,800",NTU,2015,No,NTU GES 2015,Computer Science | NTU 2015
Electrical & Electronic Engineering,College of Engineering,0.862,"$3,446","$3,300","$3,000","$3,690",NTU,2015,No,NTU GES 2015,Electrical & Electronic Engineering | NTU 2015
Environmental Engineering,College of Engineering,0.821,"$3,673","$3,300","$3,000","$3,835",NTU,2015,No,NTU GES 2015,Environmental Engineering | NTU 2015
Environmental Engineering & Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2015,Suppressed,NTU GES 2015,Environmental Engineering & Economics | NTU 2015
Information Engineering & Media,College of Engineering,0.800,"$3,375","$3,275","$3,000","$3,500",NTU,2015,No,NTU GES 2015,Information Engineering & Media | NTU 2015
Information Engineering & Media & Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2015,Suppressed,NTU GES 2015,Information Engineering & Media & Economics | NTU 2015
Materials Engineering,College of Engineering,0.768,"$3,397","$3,200","$3,000","$3,600",NTU,2015,No,NTU GES 2015,Materials Engineering | NTU 2015
Mechanical Engineering,College of Engineering,0.807,"$3,388","$3,250","$3,000","$3,600",NTU,2015,No,NTU GES 2015,Mechanical Engineering | NTU 2015
Mechanical Engineering & Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2015,Suppressed,NTU GES 2015,Mechanical Engineering & Economics | NTU 2015
Maritime Studies,College of Engineering,0.950,"$3,271","$3,200","$3,000","$3,300",NTU,2015,No,NTU GES 2015,Maritime Studies | NTU 2015
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.569,"$3,457","$2,800","$2,200","$3,000",NTU,2015,No,NTU GES 2015,"Art, Design & Media | NTU 2015"
Chinese,"College of Humanities, Arts, & Social Sciences",0.766,"$3,045","$3,200","$2,800","$3,500",NTU,2015,No,NTU GES 2015,Chinese | NTU 2015
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.744,"$3,008","$3,000","$2,600","$3,330",NTU,2015,No,NTU GES 2015,Communication Studies | NTU 2015
Economics,"College of Humanities, Arts, & Social Sciences",0.759,"$3,496","$3,300","$3,000","$3,800",NTU,2015,No,NTU GES 2015,Economics | NTU 2015
English,"College of Humanities, Arts, & Social Sciences",0.740,"$3,322","$3,314","$2,604","$3,743",NTU,2015,No,NTU GES 2015,English | NTU 2015
Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0.558,"$3,753","$3,000","$2,800","$3,600",NTU,2015,No,NTU GES 2015,Linguistics & Multilingual Studies | NTU 2015
Psychology,"College of Humanities, Arts, & Social Sciences",0.520,"$3,264","$3,200","$2,800","$3,562",NTU,2015,No,NTU GES 2015,Psychology | NTU 2015
Sociology,"College of Humanities, Arts, & Social Sciences",0.794,"$3,402","$3,125","$2,700","$3,600",NTU,2015,No,NTU GES 2015,Sociology | NTU 2015
Biomedical Sciences & Chinese Medicine,College of Science,1.000,"$2,882","$2,800","$2,500","$3,105",NTU,2015,No,NTU GES 2015,Biomedical Sciences & Chinese Medicine | NTU 2015
Biological Sciences,College of Science,0.653,"$3,229","$3,190","$2,875","$3,600",NTU,2015,No,NTU GES 2015,Biological Sciences | NTU 2015
Chemistry & Biological Chemistry,College of Science,0.723,"$3,139","$3,000","$2,800","$3,500",NTU,2015,No,NTU GES 2015,Chemistry & Biological Chemistry | NTU 2015
Mathematics & Economics,College of Science,0.844,"$3,440","$3,205","$2,925","$3,500",NTU,2015,No,NTU GES 2015,Mathematics & Economics | NTU 2015
Mathematical Sciences,College of Science,0.727,"$3,402","$3,240","$2,950","$3,500",NTU,2015,No,NTU GES 2015,Mathematical Sciences | NTU 2015
Physics & Applied Physics,College of Science,0.696,"$3,186","$3,200","$2,900","$3,400",NTU,2015,No,NTU GES 2015,Physics & Applied Physics | NTU 2015
Sports Science & Management,College of Science,0.721,"$3,307","$3,295","$2,900","$3,600",NTU,2015,No,NTU GES 2015,Sports Science & Management | NTU 2015
Science (with Education),National Institute of Education (NIE),1.000,"$3,604","$3,504","$3,500","$3,855",NTU,2015,No,NTU GES 2015,Science (with Education) | NTU 2015
Arts (with Education),National Institute of Education (NIE),1.000,"$3,622","$3,500","$3,500","$3,605",NTU,2015,No,NTU GES 2015,Arts (with Education) | NTU 2015
Bachelor of Arts,Faculty of Arts & Social Sciences,0.746,"$2,999","$3,000","$2,700","$3,215",NUS,2015,No,NUS GES 2015,Bachelor of Arts | NUS 2015
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.705,"$3,310","$3,310","$3,000","$3,625",NUS,2015,No,NUS GES 2015,Bachelor of Arts (Hons) | NUS 2015
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.798,"$3,442","$3,310","$3,000","$3,686",NUS,2015,No,NUS GES 2015,Bachelor of Social Sciences | NUS 2015
Bachelor of Dental Surgery,Faculty of Dentistry,1.000,"$4,083","$4,000","$4,000","$4,400",NUS,2015,No,NUS GES 2015,Bachelor of Dental Surgery | NUS 2015
Bachelor of Engineering (Biomedical Engineering),Faculty of Engineering,0.759,"$3,357","$3,300","$3,000","$3,500",NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Biomedical Engineering) | NUS 2015
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.829,"$3,529","$3,500","$3,000","$4,000",NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Chemical Engineering) | NUS 2015
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.953,"$3,366","$3,350","$3,200","$3,500",NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Civil Engineering) | NUS 2015
Bachelor of Engineering (Computer Engineering),Faculty of Engineering,0.906,"$4,252","$4,000","$3,325","$4,583",NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Computer Engineering) | NUS 2015
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.904,"$3,589","$3,300","$3,000","$3,700",NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Electrical Engineering) | NUS 2015
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.739,"$3,812","$3,800","$3,500","$4,420",NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Engineering Science) | NUS 2015
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.857,"$3,337","$3,450","$3,000","$3,670",NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Environmental Engineering) | NUS 2015
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.947,"$3,724","$3,500","$3,300","$4,030",NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2015
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.950,"$3,391","$3,350","$3,050","$3,790",NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Materials Science & Engineering) | NUS 2015
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.800,"$3,422","$3,300","$3,000","$3,600",NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Mechanical Engineering) | NUS 2015
Bachelor of Laws,Faculty of Law,0.969,"$4,910","$4,700","$4,200","$5,800",NUS,2015,No,NUS GES 2015,Bachelor of Laws | NUS 2015
Bachelor of Applied Science,Faculty of Science,0.000,$0,$0,$0,$0,NUS,2015,Suppressed,NUS GES 2015,Bachelor of Applied Science | NUS 2015
Bachelor of Applied Science (Hons),Faculty of Science,0.778,"$3,355","$3,100","$3,000","$4,000",NUS,2015,No,NUS GES 2015,Bachelor of Applied Science (Hons) | NUS 2015
Bachelor of Science,Faculty of Science,0.642,"$3,052","$3,000","$2,620","$3,200",NUS,2015,No,NUS GES 2015,Bachelor of Science | NUS 2015
Bachelor of Science (Computational Biology),Faculty of Science,0.000,$0,$0,$0,$0,NUS,2015,Suppressed,NUS GES 2015,Bachelor of Science (Computational Biology) | NUS 2015
Bachelor of Science (Hons),Faculty of Science,0.762,"$3,321","$3,300","$3,000","$3,600",NUS,2015,No,NUS GES 2015,Bachelor of Science (Hons) | NUS 2015
Bachelor of Science (Pharmacy) (Hons),Faculty of Science,0.979,"$3,717","$3,500","$3,400","$3,929",NUS,2015,No,NUS GES 2015,Bachelor of Science (Pharmacy) (Hons) | NUS 2015
Bachelor of Business Administration,NUS Business School,0.803,"$3,341","$3,000","$2,800","$3,700",NUS,2015,No,NUS GES 2015,Bachelor of Business Administration | NUS 2015
Bachelor of Business Administration (Hons),NUS Business School,0.931,"$4,326","$3,800","$3,300","$4,600",NUS,2015,No,NUS GES 2015,Bachelor of Business Administration (Hons) | NUS 2015
Bachelor of Business Administration (Accountancy),NUS Business School,0.976,"$2,983","$2,850","$2,700","$2,960",NUS,2015,No,NUS GES 2015,Bachelor of Business Administration (Accountancy) | NUS 2015
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.986,"$3,587","$3,000","$2,850","$3,634",NUS,2015,No,NUS GES 2015,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2015
Bachelor of Computing (Communications & Media),School of Computing,0.852,"$3,291","$3,500","$2,800","$3,800",NUS,2015,No,NUS GES 2015,Bachelor of Computing (Communications & Media) | NUS 2015
Bachelor of Computing (Computational Biology),School of Computing,0.000,$0,$0,$0,$0,NUS,2015,Suppressed,NUS GES 2015,Bachelor of Computing (Computational Biology) | NUS 2015
Bachelor of Computing (Computer Engineering),School of Computing,0.000,$0,$0,$0,$0,NUS,2015,Suppressed,NUS GES 2015,Bachelor of Computing (Computer Engineering) | NUS 2015
Bachelor of Computing (Computer Science),School of Computing,0.950,"$3,890","$3,700","$3,300","$4,400",NUS,2015,No,NUS GES 2015,Bachelor of Computing (Computer Science) | NUS 2015
Bachelor of Computing (Electronic Commerce),School of Computing,0.871,"$3,301","$3,300","$3,000","$3,500",NUS,2015,No,NUS GES 2015,Bachelor of Computing (Electronic Commerce) | NUS 2015
Bachelor of Computing (Information Systems),School of Computing,0.972,"$3,699","$3,550","$3,200","$4,100",NUS,2015,No,NUS GES 2015,Bachelor of Computing (Information Systems) | NUS 2015
Bachelor of Arts (Architecture),School of Design & Environment,0.964,"$4,099","$4,127","$3,700","$4,500",NUS,2015,No,NUS GES 2015,Bachelor of Arts (Architecture) | NUS 2015
Bachelor of Arts (Industrial Design),School of Design & Environment,0.600,"$2,908","$3,000","$2,700","$3,200",NUS,2015,No,NUS GES 2015,Bachelor of Arts (Industrial Design) | NUS 2015
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.908,"$3,067","$3,000","$2,800","$3,215",NUS,2015,No,NUS GES 2015,Bachelor of Science (Project & Facilities Management) | NUS 2015
Bachelor of Science (Real Estate),School of Design & Environment,0.896,"$3,325","$3,100","$2,810","$3,500",NUS,2015,No,NUS GES 2015,Bachelor of Science (Real Estate) | NUS 2015
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.973,"$3,356","$3,400","$3,200","$3,445",NUS,2015,No,NUS GES 2015,Bachelor of Science (Nursing) | NUS 2015
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,1.000,"$3,466","$3,435","$3,300","$3,700",NUS,2015,No,NUS GES 2015,Bachelor of Science (Nursing) (Hons) | NUS 2015
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,1.000,"$4,729","$4,900","$4,500","$5,000",NUS,2015,No,NUS GES 2015,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2015
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.412,"$3,344","$3,300","$3,000","$3,600",NUS,2015,No,NUS GES 2015,Bachelor of Music | NUS 2015
Bachelor of Environmental Studies,Multidisciplinary Programme,0.594,"$3,433","$3,500","$3,238","$3,550",NUS,2015,No,NUS GES 2015,Bachelor of Environmental Studies | NUS 2015
Accountancy (4-year programme),School of Accountancy,0.930,"$3,427","$3,000","$2,850","$3,500",SMU,2015,No,SMU GES 2015,Accountancy (4-year programme) | SMU 2015
Accountancy (4-year programme) (cum laude & above),School of Accountancy,0.977,"$3,701","$3,200","$2,850","$4,110",SMU,2015,No,SMU GES 2015,Accountancy (4-year programme) (cum laude & above) | SMU 2015
Business Management (4-year programme),School of Business,0.882,"$3,611","$3,300","$3,000","$4,000",SMU,2015,No,SMU GES 2015,Business Management (4-year programme) | SMU 2015
Business Management (4-year programme) (cum laude & above),School of Business,0.933,"$4,130","$3,868","$3,200","$4,600",SMU,2015,No,SMU GES 2015,Business Management (4-year programme) (cum laude & above) | SMU 2015
Economics (4-year programme),School of Economics,0.858,"$3,946","$3,500","$3,200","$4,100",SMU,2015,No,SMU GES 2015,Economics (4-year programme) | SMU 2015
Economics (4-year programme) (cum laude & above),School of Economics,0.927,"$4,380","$3,850","$3,500","$4,700",SMU,2015,No,SMU GES 2015,Economics (4-year programme) (cum laude & above) | SMU 2015
Information Systems Management (4-year programme),School of Information Systems,0.859,"$3,660","$3,500","$3,200","$4,110",SMU,2015,No,SMU GES 2015,Information Systems Management (4-year programme) | SMU 2015
Information Systems Management (4-year programme) (cum laude & above),School of Information Systems,0.921,"$3,834","$3,800","$3,500","$4,166",SMU,2015,No,SMU GES 2015,Information Systems Management (4-year programme) (cum laude & above) | SMU 2015
Social Sciences (4-year programme),School of Social Sciences,0.830,"$3,550","$3,200","$2,980","$3,600",SMU,2015,No,SMU GES 2015,Social Sciences (4-year programme) | SMU 2015
Social Sciences (4-year programme) (cum laude & above),School of Social Sciences,0.897,"$4,012","$3,560","$3,300","$4,583",SMU,2015,No,SMU GES 2015,Social Sciences (4-year programme) (cum laude & above) | SMU 2015
Law (4-year programme),School of Law,0.990,"$4,997","$4,731","$4,350","$5,800",SMU,2015,No,SMU GES 2015,Law (4-year programme) | SMU 2015
Law (4-year programme) (cum laude & above),School of Law,1.000,"$5,313","$5,000","$4,500","$5,995",SMU,2015,No,SMU GES 2015,Law (4-year programme) (cum laude & above) | SMU 2015
Bachelor of Arts in Game Design,DigiPen Institute of Technology,0.867,"$2,490","$2,700","$2,575","$2,800",SIT,2014,No,SIT GES 2014,Bachelor of Arts in Game Design | SIT 2014
Bachelor of Fine Arts in Digital Arts & Animation,DigiPen Institute of Technology,0.844,"$2,603","$2,600","$2,300","$2,885",SIT,2014,No,SIT GES 2014,Bachelor of Fine Arts in Digital Arts & Animation | SIT 2014
Bachelor of Science in Computer Science & Game Design,DigiPen Institute of Technology,1.000,"$2,955","$2,975","$2,800","$3,075",SIT,2014,No,SIT GES 2014,Bachelor of Science in Computer Science & Game Design | SIT 2014
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,DigiPen Institute of Technology,1.000,"$2,910","$3,000","$2,700","$3,300",SIT,2014,No,SIT GES 2014,Bachelor of Science in Computer Science in Real-Time Interactive Simulation | SIT 2014
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.783,"$2,595","$2,500","$2,400","$2,800",SIT,2014,No,SIT GES 2014,Bachelor of Arts with Honours in Communication Design | SIT 2014
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.909,"$2,583","$2,500","$2,373","$2,800",SIT,2014,No,SIT GES 2014,Bachelor of Arts with Honours in Interior Design | SIT 2014
Bachelor of Engineering with Honours in Chemical Engineering,Newcastle University,0.845,"$3,325","$3,300","$3,000","$3,650",SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2014
Bachelor of Engineering with Honours in Marine Engineering,Newcastle University,0.889,"$3,334","$3,260","$3,003","$3,594",SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Marine Engineering | SIT 2014
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Newcastle University,0.857,"$3,273","$3,100","$3,000","$3,338",SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2014
Bachelor of Engineering with Honours in Naval Architecture,Newcastle University,0.941,"$3,467","$3,500","$3,233","$3,675",SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Naval Architecture | SIT 2014
Bachelor of Engineering with Honours in Offshore Engineering,Newcastle University,0.913,"$3,467","$3,300","$3,075","$3,625",SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2014
Bachelor of Science with Honours in Food & Human Nutrition,Newcastle University,0.614,"$2,854","$2,800","$2,500","$3,170",SIT,2014,No,SIT GES 2014,Bachelor of Science with Honours in Food & Human Nutrition | SIT 2014
Bachelor of Science in Chemical Engineering,Technische Universität München,0.867,"$3,285","$3,200","$2,950","$3,755",SIT,2014,No,SIT GES 2014,Bachelor of Science in Chemical Engineering | SIT 2014
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.821,"$3,141","$3,000","$2,800","$3,480",SIT,2014,No,SIT GES 2014,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2014
Bachelor of Professional Studies in Culinary Arts Management,The Culinary Institute of America,0.893,"$2,503","$2,500","$2,200","$2,600",SIT,2014,No,SIT GES 2014,Bachelor of Professional Studies in Culinary Arts Management | SIT 2014
Bachelor in Science (Occupational Therapy),Trinity College Dublin,1.000,"$3,151","$3,100","$3,000","$3,338",SIT,2014,No,SIT GES 2014,Bachelor in Science (Occupational Therapy) | SIT 2014
Bachelor in Science (Physiotherapy),Trinity College Dublin,1.000,"$3,229","$3,200","$3,000","$3,500",SIT,2014,No,SIT GES 2014,Bachelor in Science (Physiotherapy) | SIT 2014
Bachelor of Engineering with Honours in Aeronautical Engineering,University of Glasgow,0.880,"$3,415","$3,000","$2,849","$4,194",SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Aeronautical Engineering | SIT 2014
Bachelor of Engineering with Honours in Aerospace Systems,University of Glasgow,0.750,"$3,333","$3,150","$2,900","$3,500",SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Aerospace Systems | SIT 2014
